year,cpi,fact
1969,-8.682017,-1.978483070238746
1970,5.363952,1.2223528497552196
1971,4.448878,1.013823147841983
1972,4.050961,0.9231446744111904
1973,15.61159,3.5576141482455634
1974,30.86214,7.032953460162312
1975,12.44975,2.837084931267104
1976,12.15374,2.7696293188648973
1977,28.92045,6.590475543722863
1978,16.47,3.753231094437173
1979,18.60972,4.2408366583345085
1980,25.24618,5.75317230065318
1981,25.84856,5.890444392132662
1982,53.3531,12.158258282004612
1983,89.3903,20.37051933825545
1984,75.53751,17.21370560585057
1985,59.76354,13.619087834950808
1986,84.80762,19.326205004809466
1987,130.9107,29.832307822376226
1988,110.3666,25.150659071482075
1989,21.58233,4.918243597231587
1990,25.94124,5.911564577793405
1991,19.31133,4.400721568362928
1992,10.65576,2.4282653167492323
1993,5.486386,1.2502534627373885
1994,4.65494,1.0607811506216986
1995,39.62875,9.030713827181367
1996,42.25133,9.6283549202991
1997,19.11306,4.355539229012955
1998,16.0247,3.6517548463283163
1999,15.65736,3.5680443478322297
2000,5.417217,1.2344910315551707
2001,5.063315,1.1538428232501614
2002,3.752854,0.8552111916018776
2003,5.5347,1.2612633963801714
2004,7.21681,1.6445874738703787
2005,5.366172,1.2228587497570198
2006,3.657277,0.8334308292270737
2007,6.620907,1.5087913798285817
2008,8.149836,1.8572081293116867
2009,8.818496,2.009584298322394
2010,3.306365,0.7534639907443087
2011,4.359802,0.9935242520940728
2012,8.122442,1.8509655055957779
2013,5.172226,1.1786617759961386
2014,4.740626,1.080307523393887
2015,3.989153,0.909059689135843
2016,4.469661,1.018559237813792
2017,6.966013,1.5874351302886205
2018,4.795746,1.0928684279430902
2019,4.388219,1
2020,6.621487,1.5089235519011244
