community,group,latest,reference,difference,pct
Banco Chinchorro,Finfish,9.67 (2.85),2.6 (2.65),7.07 (3.89),73.1%
Banco Chinchorro,Invertebrate,2.6 (1.32),0.22 (0.23),2.38 (1.34),91.53%
El Rosario,Finfish,5.85 (1.41),2.61 (0.3),3.24 (1.44),55.38%
El Rosario,Invertebrate,16.55 (2.88),30.16 (5.82),-,-
Isla Natividad,Finfish,3.53 (1.03),0.11 (0.09),3.42 (1.03),96.84%
Isla Natividad,Invertebrate,56.3 (14.78),31.36 (7.55),24.94 (16.59),44.3%
Isla San Pedro Mártir,Finfish,21.13 (7.14),3.25 (1.64),17.88 (7.32),84.62%
Isla San Pedro Mártir,Invertebrate,0.28 (0.1),0.04 (0.04),0.24 (0.11),85.71%
Isla San Pedro Nolasco,Finfish,8.38 (2.02),2.03 (0.64),6.35 (2.12),75.76%
Isla San Pedro Nolasco,Invertebrate,6.26 (1.64),0.96 (0.38),5.3 (1.69),84.71%
La Bocana,Finfish,2.92 (1.67),3.77 (1.15),-,-
La Bocana,Invertebrate,6.99 (5.02),3.78 (2.22),3.21 (5.49),45.98%
Maria Elena,Finfish,16.78 (4.98),2.08 (1.18),14.7 (5.12),87.59%
Maria Elena,Invertebrate,15.04 (5.71),9.75 (2.87),5.29 (6.39),35.16%
Puerto Libertad,Finfish,18.76 (8.46),20.18 (10.17),-,-
Puerto Libertad,Invertebrate,0.76 (0.31),0.36 (0.25),0.4 (0.4),52.5%
Punta Herrero,Finfish,12.22 (9.96),0.42 (0.3),11.79 (9.97),96.52%
Punta Herrero,Invertebrate,22.92 (16.95),2.21 (1.45),20.71 (17.01),90.34%
