community,group,reference
Banco Chinchorro,Finfish,Reserve (2012)
Banco Chinchorro,Invertebrate,Control (2014)
El Rosario,Finfish,Control (2017)
El Rosario,Invertebrate,Reserve (2013)
Isla Natividad,Finfish,Control (2008)
Isla Natividad,Invertebrate,Control (2018)
Isla San Pedro Mártir,Finfish,Control (2007)
Isla San Pedro Mártir,Invertebrate,Control (2017)
Isla San Pedro Nolasco,Finfish,Control (2012)
Isla San Pedro Nolasco,Invertebrate,Control (2011)
La Bocana,Finfish,Control (2018)
La Bocana,Invertebrate,Reserve (2016)
Maria Elena,Finfish,Control (2018)
Maria Elena,Invertebrate,Control (2017)
Puerto Libertad,Finfish,Control (2017)
Puerto Libertad,Invertebrate,Reserve (2012)
Punta Herrero,Finfish,Control (2018)
Punta Herrero,Invertebrate,Control (2014)
